fpr,tpr,threshold
0.6681,0.8301,77.25
0.6703,0.8301,77.21
0.6724,0.8301,77.20
0.6724,0.8329,77.04
0.6724,0.8356,77.04
0.6724,0.8384,77.04
0.6724,0.8411,77.04
0.6724,0.8438,77.04
0.6724,0.8466,77.04
0.6724,0.8493,77.04
0.6724,0.8521,77.04
0.6746,0.8521,77.04
0.6767,0.8521,76.97
0.6789,0.8521,76.97
0.6810,0.8521,76.93
0.6832,0.8521,76.88
0.6832,0.8548,76.79
0.6832,0.8575,76.79
0.6832,0.8603,76.79
0.6832,0.8630,76.79
0.6832,0.8658,76.79
0.6832,0.8685,76.79
0.6832,0.8712,76.75
0.6832,0.8740,76.75
0.6853,0.8740,76.75
0.6853,0.8767,76.73
0.6875,0.8767,76.73
0.6875,0.8795,76.72
0.6875,0.8822,76.72
0.6875,0.8849,76.72
0.6897,0.8849,76.71
0.6918,0.8849,76.71
0.6940,0.8849,76.71
0.6961,0.8849,76.71
0.6983,0.8849,76.69
0.7004,0.8849,76.65
0.7004,0.8877,76.64
0.7026,0.8877,76.64
0.7047,0.8877,76.62
0.7047,0.8904,76.62
0.7069,0.8904,76.62
0.7091,0.8904,76.62
0.7112,0.8904,76.62
0.7134,0.8904,76.62
0.7155,0.8904,76.62
0.7155,0.8932,76.62
0.7177,0.8932,76.61
0.7198,0.8932,76.61
0.7220,0.8932,76.61
0.7220,0.8959,76.60
0.7220,0.8986,76.60
0.7241,0.8986,76.59
0.7263,0.8986,76.59
0.7284,0.8986,76.59
0.7306,0.8986,76.59
0.7328,0.8986,76.59
0.7349,0.8986,76.59
0.7371,0.8986,76.52
0.7392,0.8986,76.52
0.7414,0.8986,76.51
0.7435,0.8986,76.50
0.7457,0.8986,76.47
0.7478,0.8986,76.47
0.7478,0.9014,76.41
0.7500,0.9014,76.38
0.7522,0.9014,76.32
0.7522,0.9041,76.29
0.7543,0.9041,76.27
0.7565,0.9041,76.27
0.7586,0.9041,76.27
0.7608,0.9041,76.27
0.7629,0.9041,76.27
0.7651,0.9041,76.27
